tie_line_id,organic_water_mass_percent,organic_one_butanol_mass_percent,organic_licl_mass_percent,aqueous_water_mass_percent,aqueous_one_butanol_mass_percent,aqueous_licl_mass_percent
al-sahhaf-01,20.72,79.28,0.00,92.69,7.31,0.00
al-sahhaf-02,20.09,79.90,0.007,92.75,7.01,0.24
al-sahhaf-03,19.61,80.37,0.019,92.58,6.86,0.56
al-sahhaf-04,18.79,81.16,0.044,92.29,6.60,1.11
al-sahhaf-05,18.45,81.49,0.066,92.11,6.26,1.63
al-sahhaf-06,17.85,82.07,0.083,91.78,5.99,2.23
al-sahhaf-07,15.53,84.20,0.27,90.25,4.64,5.11
al-sahhaf-08,13.05,86.43,0.52,86.86,3.38,9.76
al-sahhaf-09,11.62,87.41,0.97,83.59,2.25,14.16
al-sahhaf-10,10.76,87.44,1.80,80.07,1.69,18.24
al-sahhaf-11,10.87,86.15,2.98,76.99,1.30,21.71
al-sahhaf-12,11.07,84.30,4.63,73.95,0.97,25.08
al-sahhaf-13,11.38,82.46,6.16,71.58,0.77,27.65
al-sahhaf-14,11.43,80.59,7.98,68.37,0.57,31.04
al-sahhaf-15,11.26,79.51,9.23,65.72,0.42,33.86
al-sahhaf-16,10.93,78.52,10.56,62.71,0.30,36.99
al-sahhaf-17,10.38,77.88,11.76,59.70,0.20,40.11
