model_case_id,phase,water_mass_fraction,one_butanol_mass_fraction,licl_mass_fraction,phase_fraction
model-04,aqueous,0.826044215295835,0.032765719500549836,0.14119006520361516,0.06512346666208876
model-04,organic,0.5284486586745221,0.4599839228064623,0.011567418519015589,0.9348765333379112
model-05,aqueous,0.8236448899963686,0.029860801005668115,0.14649430899796334,0.12256690550004071
model-05,organic,0.511389898551876,0.4780499830143934,0.010560118433730644,0.8774330944999593
model-09,aqueous,0.7993868812941037,0.015084777235031809,0.1855283414708645,0.40775473638239457
model-09,organic,0.39026144058619666,0.6042431074048348,0.005495452008968526,0.5922452636176054
model-10,aqueous,0.7882890792595928,0.011711637940001582,0.19999928280040566,0.4749833961365611
model-10,organic,0.34902890077181015,0.6465915427733557,0.004379556454834173,0.525016603863439
model-11,aqueous,0.7761133386857395,0.00903549209706764,0.21485116921719294,0.5306612348794326
model-11,organic,0.30963907049521505,0.6868432977846971,0.0035176317200878394,0.4693387651205673
model-14,aqueous,0.7284707172271797,0.0036078468782963697,0.26792143589452394,0.6568096722223956
model-14,organic,0.1959269474285732,0.8021974922396206,0.0018755603318062729,0.3431903277776044
model-17,aqueous,0.665357371482402,0.001208287377279533,0.33343434114031834,0.7295490031503731
model-17,organic,0.10682882713973574,0.8918867315290053,0.0012844413312590023,0.27045099684962687
model-18,aqueous,0.6464918446064719,0.0008866970050950917,0.35262145838843306,0.7414775344329889
model-18,organic,0.08869653962073201,0.9100485378338165,0.0012549225454515772,0.258522465567011
model-19,aqueous,0.6280843967220159,0.0006596767000270449,0.37125592657795703,0.7502740587470552
model-19,organic,0.0737819934345547,0.9249418925657368,0.0012761139997084353,0.24972594125294478
model-23,aqueous,0.5853338940458029,0.00033805158189275384,0.4143280543723044,0.7625116957335946
model-23,organic,0.04710286503624198,0.9513773424088161,0.0015197925549418135,0.23748830426640546
