case_id,outcome,failure_stage,failure_reason,upper_solve_count
figure3-01,one_phase_no_negative_witness_detected,,,0
figure3-02,one_phase_no_negative_witness_detected,,,0
figure3-03,one_phase_no_negative_witness_detected,,,0
figure3-04,indeterminate,step8,stage_iii_phase_fraction_recovery_failed,3
figure3-05,indeterminate,step8,problem_67_not_converged,8
figure3-06,indeterminate,step8,stage_iii_phase_fraction_recovery_failed,3
figure3-07,indeterminate,step8,stage_iii_phase_fraction_recovery_failed,3
figure3-08,indeterminate,step8,stage_iii_phase_fraction_recovery_failed,3
figure3-09,indeterminate,step8,active_set_incomplete,2
figure3-10,indeterminate,step8,problem_67_not_converged,50
figure3-11,indeterminate,step8,active_set_incomplete,22
figure3-12,indeterminate,step8,active_set_incomplete,22
figure3-13,indeterminate,step8,problem_67_not_converged,28
figure3-14,physical_equilibrium_accepted,,,51
figure3-15,physical_equilibrium_accepted,,,53
figure3-16,physical_equilibrium_accepted,,,71
figure3-17,indeterminate,step8,problem_67_not_converged,54
figure3-18,physical_equilibrium_accepted,,,59
figure3-19,physical_equilibrium_accepted,,,59
figure3-20,physical_equilibrium_accepted,,,56
figure3-21,physical_equilibrium_accepted,,,52
figure3-22,physical_equilibrium_accepted,,,52
figure3-23,physical_equilibrium_accepted,,,49
figure3-24,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-25,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-26,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-27,indeterminate,step8,problem_67_not_converged,11
figure3-28,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-29,indeterminate,step8,stage_iii_active_set_balance_failed,10
figure3-30,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-31,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-32,indeterminate,step7,stage_ii_major_iteration_limit,80
figure3-33,indeterminate,step7,stage_ii_major_iteration_limit,80
