case_id,phase,water_mass_fraction,one_butanol_mass_fraction,licl_mass_fraction,phase_fraction
figure3-14,aqueous,0.7179488407307169,0.0016418005854229136,0.28040935868386024,0.6283120377123648
figure3-14,organic,0.2209593255839827,0.7775527115407513,0.0014879628752659639,0.3716879622876351
figure3-15,aqueous,0.697264793538047,0.0010560258242322588,0.30167918063772076,0.666432401894897
figure3-15,organic,0.18109404577984425,0.8177479788815182,0.0011579753386375075,0.333567598105103
figure3-16,aqueous,0.6776708536454801,0.000697283629384824,0.32163186272513505,0.6937185161579399
figure3-16,organic,0.14929566330224617,0.8497466402675347,0.0009576964302192227,0.3062814838420601
figure3-18,aqueous,0.6406754495348808,0.00032043639771577655,0.3590041140674035,0.7289395679427407
figure3-18,organic,0.10247470560772523,0.8967623992932641,0.0007628950990107492,0.27106043205725927
figure3-19,aqueous,0.6230859360850157,0.00022190411130461397,0.37669215980367954,0.740192652386702
figure3-19,organic,0.08518541135427296,0.9140869810251601,0.0007276076205670133,0.259807347613298
figure3-20,aqueous,0.6174469391182762,0.00019728672680132257,0.3823557741549226,0.7432038092104425
figure3-20,organic,0.08021321025739096,0.9190641995707898,0.0007225901718192651,0.25679619078955757
figure3-21,aqueous,0.6063771562399045,0.00015664893111298626,0.39346619482898254,0.7483595696797541
figure3-21,organic,0.07118235286119678,0.9280964957377423,0.0007211514010609063,0.25164043032024586
figure3-22,aqueous,0.6065450886373559,0.000157197834690016,0.3932977135279541,0.748285682030433
figure3-22,organic,0.07131246401999188,0.9279664451751761,0.0007210908048319604,0.25171431796956706
figure3-23,aqueous,0.5817601053654469,9.378812823652301e-05,0.4181461065063166,0.7566763655117511
figure3-23,organic,0.054183749480255415,0.945058182117213,0.0007580684025315132,0.2433236344882488
