tie_line_id,source_row,outcome,failure_reason,phase_count,globality_certificate,attempts,major_iterations,best_tpd,held_gap,material_balance_max_abs,pressure_stationarity_max_relative,kkt_stationarity_max_abs,chemical_potential_max_relative,feed_li_mole_fraction,feed_cl_mole_fraction,feed_water_mole_fraction,feed_one_butanol_mole_fraction,source_aqueous_water_mass_fraction,source_aqueous_one_butanol_mass_fraction,source_aqueous_licl_mass_fraction,source_organic_water_mass_fraction,source_organic_one_butanol_mass_fraction,source_organic_licl_mass_fraction,predicted_aqueous_water_mass_fraction,predicted_aqueous_one_butanol_mass_fraction,predicted_aqueous_licl_mass_fraction,predicted_organic_water_mass_fraction,predicted_organic_one_butanol_mass_fraction,predicted_organic_licl_mass_fraction,predicted_aqueous_phase_fraction,predicted_organic_phase_fraction
figure3-01,5,one_phase_no_negative_witness_detected,,1,not_guaranteed,0,0,7.185404706659682e-05,,,,,,0.0013916483930478964,0.0013916483930478964,0.8340787270322444,0.1631379761816597,0.8798557609639079,0.11586288315381033,0.004281355882281561,0.2259357000407743,0.774003963068393,6.033689083268756e-05,,,,,,,,
figure3-02,6,one_phase_no_negative_witness_detected,,1,not_guaranteed,0,0,0.0002506479499114287,,,,,,0.004770008776823598,0.004770008776823598,0.8281696969333187,0.16229028551303404,0.876846469306601,0.10844570436633487,0.014707826327064173,0.22216495959304808,0.7776470119273677,0.00018802847958427385,,,,,,,,
figure3-03,7,one_phase_no_negative_witness_detected,,1,not_guaranteed,0,0,5.789910623488475e-06,,,,,,0.008026216694119303,0.008026216694119303,0.8222383385320243,0.161709228079737,0.8729137946467151,0.10231244487280063,0.024773760480484276,0.2187041556637061,0.7809942431596361,0.0003016011766577837,,,,,,,,
figure3-04,8,physical_equilibrium_accepted,,2,not_guaranteed,17,17,-0.0010355896674541232,8.103217110644323e-07,4.8433479449272454e-15,3.161859677448089e-11,1.3205929150641873e-10,,0.011164746896276504,0.011164746896276504,0.8163487421619737,0.1613217640454732,0.8684098043679435,0.09711409615229415,0.03447609947976243,0.21545959766023706,0.7841335290149284,0.0004068733248345462,0.826044215295835,0.032765719500549836,0.14119006520361516,0.5284486586745221,0.4599839228064623,0.011567418519015589,0.06512346666208876,0.9348765333379112
figure3-05,9,physical_equilibrium_accepted,,2,not_guaranteed,17,17,-0.0037764763963644143,1.9288138691564427e-05,4.1316498139432056e-10,2.894782473177806e-11,1.2527510005468604e-10,,0.014171853078914061,0.014171853078914061,0.8105676333488029,0.16108866049336898,0.8635684957329871,0.09266950075556644,0.04376200351144657,0.21238515800261262,0.7871083943904018,0.0005064476069854755,0.8236448899963686,0.029860801005668115,0.14649430899796334,0.511389898551876,0.4780499830143934,0.010560118433730644,0.12256690550004071,0.8774330944999593
figure3-06,10,indeterminate,stage_iii_active_set_balance_failed,0,not_guaranteed,11,11,-0.002176320763235401,1.4684534037634478e-05,,,,,0.018784742528114153,0.018784742528114153,0.8014904838826825,0.16094003106108912,0.855335258311708,0.08669015028250875,0.0579745914057832,0.2077462703208116,0.7915960350063029,0.0006576946728853648,,,,,,,,
figure3-07,11,indeterminate,problem_67_not_converged,0,not_guaranteed,8,8,-0.0020624529994869856,0.000636128698902283,,,,,0.025278015655628473,0.025278015655628473,0.7883536966017279,0.161090272087015,0.8424571962552186,0.07966053492856588,0.07788226881621546,0.20128844155102796,0.7978385032650882,0.0008730551838839564,,,,,,,,
figure3-08,12,indeterminate,stage_iii_phase_fraction_recovery_failed,0,not_guaranteed,1,1,-0.01739879478002404,,,,,,0.035035936574565205,0.035035936574565205,0.7680040306573258,0.1619240961935438,0.8210585592008661,0.07143092945341299,0.10751051134572097,0.19169328331201368,0.807095423235954,0.0012112934520323833,,,,,,,,
figure3-09,13,physical_equilibrium_accepted,,2,not_guaranteed,37,37,-0.0051252096617818155,7.923418987587638e-06,2.789435349370706e-15,1.2360508843285545e-11,9.275215366605701e-11,,0.03601406484765458,0.03601406484765458,0.7658785724354679,0.162093297869223,0.8188233382841019,0.07073772156241359,0.11043894015348434,0.19054506957290426,0.8082010367628851,0.0012538936642107852,0.7993868812941037,0.015084777235031809,0.1855283414708645,0.39026144058619666,0.6042431074048348,0.005495452008968526,0.40775473638239457,0.5922452636176054
figure3-10,14,physical_equilibrium_accepted,,2,not_guaranteed,61,61,-0.04553254832480452,5.503476430135379e-06,8.326672684688674e-15,9.540051749566347e-12,1.6115960332339515e-10,,0.04391808484870394,0.04391808484870394,0.7489454601127282,0.1632183701898638,0.8001013500798864,0.06580733830397052,0.1340913116161433,0.1828724874512663,0.8155754642396236,0.0015520483091101974,0.7882890792595928,0.011711637940001582,0.19999928280040566,0.34902890077181015,0.6465915427733557,0.004379556454834173,0.4749833961365611,0.525016603863439
figure3-11,15,physical_equilibrium_accepted,,2,not_guaranteed,60,60,-0.0005331028096587365,3.2868289601140077e-06,3.807002824096628e-09,2.6277052689075235e-11,9.440624889569272e-11,,0.05188359855240144,0.05188359855240144,0.7316427045197827,0.16459009837541436,0.780415866928645,0.06195269644101629,0.1576314366303387,0.1754040284082511,0.8227238084242214,0.0018721631675276235,0.7761133386857395,0.00903549209706764,0.21485116921719294,0.30963907049521505,0.6868432977846971,0.0035176317200878394,0.5306612348794326,0.4693387651205673
figure3-12,16,indeterminate,stage_ii_major_iteration_limit,0,not_guaranteed,80,80,-0.060515546276683596,-3.72491726352564e-08,,,,,0.05935542932381481,0.05935542932381481,0.7151679589241923,0.16612118242817822,0.7614027772595612,0.05921054236965171,0.17938668037078706,0.16839549479648497,0.8293959225974833,0.002208582606031676,,,,,,,,
figure3-13,17,indeterminate,problem_67_not_converged,0,not_guaranteed,14,14,-0.11177932707668783,0.0006283551801331555,,,,,0.06622008476627468,0.06622008476627468,0.6998403645240564,0.1677194659433942,0.7435735075929601,0.05735811419076853,0.19906837821627124,0.16193986182693654,0.8355013760495087,0.0025587621235548213,,,,,,,,
